"dest","origin","n_jointpath"
"BNA","DTW",61597
"RDU","CLT",61509
"HRL","HOU",61496
"BWI","CLT",61433
"MSP","EWR",61258
"MIA","JFK",61183
"MCO","JFK",61152
"CLT","RDU",61130
"IAH","MIA",61086
"SEA","SLC",61080
"EWR","MSP",61036
"JFK","MCO",61026
"JFK","MIA",60997
"MIA","IAH",60993
"DEN","SAN",60831
"SHV","DFW",60726
"EWR","SFO",60656
"SFO","HNL",60583
"DTW","DCA",60469
"IAD","DEN",60452
"PDX","DEN",60445
"BOS","CLT",60443
"PIT","LGA",60390
"SJC","ORD",60145
"DFW","SJC",60013
"SNA","ORD",59949
"MSP","MDW",59829
"CLT","BWI",59672
"SJC","LAS",59473
"PBI","LGA",59129
"ATL","RIC",59001
"SFO","IAH",58980
"DTW","PIT",58950
"DFW","SHV",58870
"IAH","SFO",58842
"DFW","ONT",58552
"DAL","LBB",58508
"MCO","IAD",58402
"ATL","GSP",58310
"GSP","ATL",58260
"DEN","PDX",58195
"ORD","SNA",58192
"LGA","PIT",58117
"SMF","SEA",58097
"SEA","SMF",58027
"MDW","MSP",57775
"IAH","LGA",57744
"TUL","DAL",57704
"IAD","MCO",57677
"PDX","PHX",57607
"LGA","IAH",57568
"CLT","BOS",57484
"DAL","TUL",57443
"PHX","PDX",57297
"ORD","PDX",57225
"LAS","SNA",57185
"RDU","DFW",57118
"SLC","SEA",57055
"MCO","FLL",57045
"PDX","ORD",57020
"SMF","PHX",56925
"PIT","DTW",56905
"SJC","BUR",56871
"BUR","SJC",56827
"SFO","EWR",56789
"SLC","ATL",56764
"DAL","IAH",56733
"PHX","MCI",56689
"HNL","LIH",56604
"ONT","SJC",56601
"MCI","PHX",56600
"BOS","DTW",56517
"MDW","BNA",56496
"BNA","MDW",56398
"DFW","RDU",56390
"DTW","IND",56388
"FLL","MCO",56371
"PHX","SMF",56358
"IAH","DAL",56315
"ONT","DFW",56184
"CLT","MCO",56170
"DTW","BOS",56031
"DEN","IAD",56028
"MCO","CLT",56018
"LIH","HNL",56014
"SJC","ONT",55942
"ATL","MOB",55938
"LGA","PBI",55886
"ATL","TYS",55686
"RIC","ATL",55669
"STL","CLE",55658
"SNA","LAS",55622
"TYS","ATL",55489
"CVG","DFW",55481
"MCO","DTW",55346
"DTW","MCO",55316
"STL","LIT",55181
"MEM","MSP",55122
"SJC","DEN",54833
"CLE","STL",54774
"PVD","ORD",54454
"EWR","CLE",54418
"IND","DTW",54368
"DFW","IAD",54182
"CLE","EWR",54089
"ORD","PVD",54026
"SDF","ATL",53990
"MSP","MEM",53887
"FLL","DFW",53884
"DFW","CVG",53884
"BOS","LAX",53865
"BOI","SLC",53839
"SLC","BOI",53768
"STL","IND",53709
"ORD","SYR",53537
"DTW","DEN",53522
"LIT","DAL",53442
"DEN","SJC",53415
"DFW","FLL",53328
"IAD","DFW",53326
"STL","TUL",53142
"DTW","GRR",53109
"SFO","ATL",53099
"ATL","ORF",52988
"SYR","ORD",52937
"DEN","DTW",52870
"DAL","AMA",52840
"TUL","STL",52806
"DTW","PHX",52787
"IND","STL",52771
"ATL","SFO",52763
"ATL","SRQ",52665
"PHL","TPA",52639
"LAX","BOS",52611
"LGA","RDU",52416
"RDU","LGA",52285
"PHL","RDU",52236
"DEN","LGA",52220
"AMA","DAL",52218
"RDU","PHL",52189
"CLT","TPA",52188
"ATL","SLC",52114
"TPA","PHL",52061
"JFK","FLL",52009
"DTW","BWI",51989
"FLL","JFK",51961
"SLC","MSP",51937
"BWI","DTW",51932
"HPN","ORD",51868
"RDU","EWR",51843
"DEN","OMA",51811
"GRR","DTW",51720
"SRQ","ATL",51707
"PHX","AUS",51686
"LGA","DEN",51686
"ORF","ATL",51621
"LGA","MSP",51621
"EWR","RDU",51589
"ORD","DAY",51498
"AUS","PHX",51458
"MSP","LGA",51416
"DFW","COS",51338
"DTW","MEM",51327
"HSV","ATL",51286
"LAX","ABQ",51203
"PIT","BOS",51147
"MEM","DTW",51123
"CLT","DTW",51033
"TPA","CLT",51033
"MSP","SLC",50995
"COS","DFW",50977
"EWR","BUF",50971
"MOB","ATL",50958
"ATL","DAY",50928
"DAY","ORD",50851
"ORD","HPN",50805
"IAH","DCA",50732
"ORD","MKE",50635
"BUF","EWR",50629
"DCA","IAH",50612
"IND","ATL",50603
"DAL","OKC",50585
"ATL","IND",50583
"ORD","AUS",50533
"PIT","MCO",50412
"ORD","ALB",50378
"HOU","CRP",50372
"DTW","MKE",50335
"DAL","MAF",50318
"DTW","CLT",50316
"AUS","ORD",50292
"MAF","DAL",50167
"OKC","DAL",50166
"MSP","MKE",50115
"MKE","MSP",50074
"ATL","SDF",50019
"TPA","MIA",49987
"MKE","ORD",49950
"ALB","ORD",49866
"MSP","DCA",49864
"PHX","DTW",49820
"CRP","HOU",49769
"PDX","SLC",49646
"MIA","TPA",49613
"FAT","LAX",49593
"MCO","PIT",49483
"LAX","FAT",49483
"DEN","PHL",49436
"LIT","STL",49413
"SFO","IAD",49345
"PHL","DEN",49258
"SMF","LAS",49254
"LAS","SMF",49143
"CMH","ATL",49074
"ATL","HSV",49040
"DAL","LIT",49007
"STL","MCO",48990
"MDT","ORD",48934
"HOU","ATL",48903
"MSP","MCI",48880
"OMA","DEN",48846
"MKE","DTW",48821
"BOS","PIT",48803
"MSP","LAX",48644
"IAH","PHL",48634
"STL","BWI",48602
"BWI","STL",48582
"CMH","MDW",48546
"MDW","CMH",48537
"PHL","IAH",48451
"DFW","PIT",48418
"TPA","ORD",48325
"MSP","SEA",48286
"MCO","STL",48258
"TLH","ATL",48173
"ATL","TLH",48105
"ATL","DAB",48094
"DAY","ATL",48062
"DCA","STL",47996
"ATL","HOU",47994
"ORD","TPA",47982
"DCA","MSP",47981
"PIT","DFW",47865
"MIA","PHL",47820
"ORD","MDT",47634
"PHL","MIA",47602
"FLL","PHL",47595
"BTR","DFW",47590
"DFW","BWI",47529
"STL","DCA",47483
"PHL","FLL",47467
"EWR","TPA",47459
"ATL","LAS",47438
"BWI","DFW",47436
"TPA","BWI",47435
"STL","SDF",47420
"TPA","EWR",47328
"DAB","ATL",47298
"ABQ","LAS",47241
"MIA","CLT",47132
"EWR","PBI",47121
"SDF","STL",47090
"MSP","SFO",47090
"STL","OKC",47071
"BWI","TPA",47014
"CLT","MIA",46978
"PBI","EWR",46909
"OKC","STL",46887
"STL","EWR",46805
"SLC","PDX",46791
"LAS","IAH",46694
"CLT","GSO",46589
"IAH","LAS",46555
"ONT","SFO",46496
"DFW","BTR",46489
"EWR","CVG",46460
"SFO","ONT",46407
"PHL","LAX",46373
"LAX","MSP",46368
"EWR","STL",46312
"BOS","SFO",46312
"LAS","ABQ",46303
"ABQ","DAL",46197
"LGA","CVG",46157
"DFW","AMA",46114
"IAD","SFO",45946
"DEN","SMF",45776
"AMA","DFW",45750
"CLT","JAX",45715
"DTW","IAD",45710
"MCI","MSP",45697
"SNA","SMF",45690
"DEN","SNA",45658
"GSO","CLT",45622
"SMF","DEN",45620
"ABQ","LAX",45615
"JAX","CLT",45577
"DFW","PDX",45478
"IAH","DTW",45473
"KOA","HNL",45435
"IAD","DTW",45422
"SMF","SNA",45401
"MSP","PHL",45388
"CVG","EWR",45387
"DFW","JAN",45334
"DTW","IAH",45324
"HNL","KOA",45279
"SFO","BOS",45250
"SEA","MSP",45228
"BWI","BNA",45200
"BNA","BWI",45176
"CLT","MYR",45120
"ORD","MSN",45007
"ATL","BDL",45006
"MYR","CLT",44978
"DAL","ABQ",44869
"CLE","PHL",44724
"MIA","LAX",44695
"MSN","ORD",44649
"LAX","MIA",44494
"SAN","SEA",44462
"ATL","SAT",44388
"CLT","RIC",44362
"RIC","CLT",44354
"SAT","ATL",44304
"SEA","SAN",44296
"PHL","MSP",44276
"PHL","CLE",44257
"CLE","IAH",44223
"IAH","CLE",44201
"LAS","MSP",44125
"MSP","LAS",44072
"DTW","CLE",44035
"CVG","DTW",44026
"MSP","FAR",44020
"LGA","TPA",43954
"STL","LGA",43919
"SLC","OAK",43900
"CLT","CHS",43849
"IAH","MFE",43840
"TPA","LGA",43819
"MDW","BWI",43789
"CHS","CLT",43765
"LAS","ATL",43758
"FAR","MSP",43716
"MFE","IAH",43711
"PDX","DFW",43666
"DFW","LBB",43612
"LGA","STL",43550
"LAX","PHL",43527
"SNA","DEN",43513
"ORF","CLT",43510
"RNO","PHX",43493
"OAK","SLC",43457
"IAH","MCO",43434
"BWI","MDW",43433
"AGS","ATL",43417
"STL","LAX",43412
"MCO","IAH",43294
"PHX","RNO",43248
"LBB","DFW",43228
"LAX","STL",43179
"BDL","ATL",43040
"CLE","MSP",43007
"DFW","ICT",42990
"BOS","DEN",42861
"DTW","CVG",42814
"CLT","ORF",42762
"MSP","BOS",42656
"ICT","DFW",42637
"SFO","MSP",42614
"BDL","BWI",42602
"PHL","CVG",42559
"JAN","DFW",42491
"STL","CMH",42465
"BWI","BDL",42464
"FLL","CLT",42390
"SAT","ORD",42380
"CID","ORD",42261
"SNA","SEA",42257
"CMH","STL",42211
"BOS","MSP",42145
"ORD","SAT",42049
"CLT","FLL",42036
"EWR","SJU",42024
"DEN","OKC",41928
"DEN","BOS",41859
"PVD","PHL",41821
"SEA","SNA",41803
"SJU","EWR",41791
"CLE","DTW",41770
"PHL","PVD",41698
"DFW","SMF",41625
"CLT","IAH",41587
"IAH","MSP",41537
"PIT","BWI",41496
"STL","PIT",41450
"MIA","BOS",41448
"ATL","CMH",41415
"MHT","BWI",41387
"BOS","MIA",41370
"MSP","IAH",41365
"SAT","PHX",41327
"BWI","MHT",41326
"ATL","JAN",41323
"LAX","SBA",41191
"HOU","PHX",41148
"DTW","MBS",41118
"SBA","LAX",41113
"PIT","STL",41096
"EWR","CMH",41081
"ORD","CID",40984
"MSP","CLE",40943
"STL","SLC",40935
"PDX","LAS",40931
"LAS","PDX",40931
"OAK","DEN",40928
"IAH","CLT",40850
"SLC","STL",40829
"RNO","SEA",40676
"MBS","DTW",40668
"DCA","PIT",40558
"PIT","DCA",40520
"SEA","RNO",40495
"CMH","EWR",40431
"MSP","CVG",40415
"BNA","HOU",40406
"HOU","BNA",40337
"JAN","ATL",40278
"DFW","CLE",40276
"IAH","PIT",40207
"CLT","STL",40191
"ORD","MSY",40171
"PHX","EWR",40165
"MSY","ORD",40143
"LAS","JFK",40099
"JFK","LAS",40081
"CLE","DFW",40030
"DCA","RDU",39945
"STL","CLT",39915
"MGM","ATL",39913
"OAK","RNO",39890
"PIT","CVG",39879
"JFK","DCA",39862
"CVG","PIT",39849
"CVG","BOS",39781
"CLT","ILM",39752
"BUF","ATL",39752
"MSP","OMA",39717
"OAK","DFW",39695
"ATL","AGS",39687
"BWI","PIT",39687
"RDU","DCA",39679
"CVG","PHL",39661
"ATL","BUF",39642
"OKC","DEN",39590
"MSY","BHM",39525
"SAN","SLC",39516
"OMA","MSP",39512
"DCA","JFK",39497
"SMF","DFW",39490
"EWR","PHX",39490
"PIT","IAH",39464
"BDL","PHL",39433
"CVG","LGA",39414
"DEN","OAK",39380
"ATL","MLB",39347
"SLC","SAN",39325
"ILM","CLT",39248
"STL","OMA",39213
"MLB","ATL",39201
"ORD","TUL",39182
"BHM","MSY",39177
"ELP","LAX",39116
"DAL","ELP",39113
"ELP","DAL",39036
"BOS","CLE",38986
"MCO","DCA",38986
"DCA","CVG",38931
"SJC","RNO",38720
"OMA","STL",38707
"RNO","SJC",38688
"CLE","BOS",38650
"CVG","MSP",38587
"TUL","ORD",38578
"DEN","ONT",38558
"DFW","OAK",38524
"CMH","DTW",38432
"IAH","TPA",38420
"ORD","OKC",38337
"MEM","LIT",38316
"PHL","BDL",38280
"LGA","CMH",38162
"OKC","MCI",38122
"MKE","ATL",38108
"TPA","IAH",38095
"LIT","MEM",38083
"MCI","OKC",37986
"DTW","LAX",37964
"ATL","MKE",37919
"CVG","CMH",37914
"DCA","MCO",37913
"IAD","CLT",37804
"CMH","LGA",37800
"ONT","DEN",37735
"LGA","IAD",37717
"ATL","LEX",37663
"LAX","DTW",37660
"DTW","MIA",37493
"MSP","FSD",37450
"DFW","IND",37444
"SBA","SFO",37246
"EUG","SFO",37211
"RNO","OAK",37187
"OKC","ORD",37123
"CLT","IAD",37086
"IND","DFW",37080
"CVG","DCA",37071
"MIA","DTW",37018
"SFO","RNO",36988
"RNO","SFO",36982
"FSD","MSP",36972
"IND","MSP",36903
"MHT","PHL",36808
"CLT","SAV",36792
"SFO","EUG",36748
"SFO","SBA",36717
"SLC","CVG",36701
"SAV","CLT",36646
"SLC","RNO",36630
"CVG","SLC",36605
"RNO","SLC",36548
"PHX","HOU",36487
"DTW","TPA",36426
"BOS","CVG",36307
"PHL","SFO",36298
"DTW","CMH",36285
"TPA","STL",36211
"DTW","LAS",36172
"SMF","PDX",36129
"IAD","LGA",36072
"CLE","DEN",36050
"DEN","CLE",36036
"DFW","CRP",36026
"PDX","SMF",35933
"CLE","DCA",35921
"PHX","SAT",35878
"BOS","FLL",35844
"TPA","DTW",35844
"CLE","CVG",35786
"PIT","MSP",35757
"MSP","PIT",35746
"DCA","CLE",35717
"CVG","SDF",35710
"LAS","DTW",35676
"CRP","DFW",35608
"STL","TPA",35590
"ORD","SMF",35575
"STL","LAS",35460
"PHL","MHT",35440
"IAH","SAN",35417
"STL","BOS",35382
"LGA","BUF",35334
"SAN","IAH",35329
"SDF","CVG",35277
"ELP","ABQ",35212
"MSP","IND",35149
"LAX","RNO",35124
"ATL","JFK",35103
"BOS","STL",35036
"SLC","MCI",35007
"BUF","LGA",35007
"DFW","JAX",35002
"LAS","STL",35000
"ATL","MGM",34927
"SMF","ORD",34900
"RDU","BOS",34774
"ATL","SJU",34759
"AUS","ATL",34758
"DTW","BUF",34734
"CLT","IND",34712
"BNA","CLT",34707
"JFK","TPA",34707
"LAS","MCI",34681
"STL","PHL",34674
"BWI","FLL",34666
"CLT","BNA",34655
"MCI","LAS",34634
"FLL","BWI",34631
"ATL","AUS",34615
"RIC","ORD",34581
"TPA","JFK",34543
"SFO","MFR",34493
"IAH","OKC",34477
"PHL","STL",34413
"SJU","ATL",34378
"LAX","MCO",34373
"OKC","IAH",34373
"BUF","DTW",34345
"IAH","STL",34331
"MFR","SFO",34314
"MCO","BDL",34312
"PHL","PHX",34298
"MCO","LAX",34265
"IAH","MCI",34264
"SFO","PHL",34224
"BDL","MCO",34217
"BOS","RDU",34207
"PHX","PHL",34136
"DTW","MSN",34100
"ATL","SEA",34094
"LAX","ELP",34025
"FLL","BOS",34006
"PHX","OMA",34003
"STL","IAH",33984
"ORD","RIC",33967
"STL","CVG",33957
"DTW","LAN",33951
"BOS","IAH",33943
"OMA","PHX",33929
"MSN","DTW",33922
"IAH","ABQ",33919
"DTW","BDL",33911
"SMF","SLC",33836
"SLC","SMF",33815
"MCI","IAH",33808
"DEN","MCO",33762
"IAH","BOS",33755
"ABQ","IAH",33743
"CVG","STL",33699
"BDL","DTW",33678
"TUL","DEN",33677
"LAN","DTW",33653
"DFW","BHM",33639
"IAH","BWI",33628
"SDF","DFW",33628
"MSP","MSN",33625
"DFW","SDF",33551
"BWI","IAH",33487
"MCI","SLC",33486
"FLL","ORD",33472
"ITO","HNL",33457
"ORD","FLL",33447
"TPA","PIT",33385
"LAS","EWR",33379
"MDW","SDF",33364
"IAH","TUL",33354
"EWR","LAS",33353
"TUL","IAH",33306
"DEN","BWI",33305
"JAX","DFW",33303
"HOU","TUL",33269
"TPA","BOS",33265
"ABQ","ELP",33257
"HSV","DFW",33247
"MSN","MSP",33236
"BOS","TPA",33234
"MSY","MCO",33231
"JFK","ATL",33166
"LEX","CVG",33137
"GSO","EWR",33135
"MCO","DEN",33130
"SDF","MDW",33111
"ATL","LIT",33099
"MCO","MSY",33097
"FLL","JAX",33091
"EWR","GSO",33057
"STL","ABQ",33024
"IND","CLT",32991
"TUL","HOU",32988
"PIT","TPA",32907
"IAD","EWR",32779
